membership_3,Type,Alcohol,Malic,Ash,Alcalinity,Magnesium,Phenols,Flavanoids,Nonflavanoids,Proanthocyanins,Color,Hue,Dilution,Proline,Comp.1,Comp.2,Comp.3
1,1,14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065,-3.522933903,1.45309844,-0.164795488
1,1,13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050,-2.528858062,-0.330019252,-2.026706652
1,1,13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185,-2.785028984,1.036935953,0.983237703
1,1,14.37,1.95,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480,-3.922588408,2.768210262,-0.174968168
1,1,13.24,2.59,2.87,21,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735,-1.407511112,0.867773087,2.025829485
1,1,14.2,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450,-3.288129815,2.130175129,-0.628992339
1,1,14.39,1.87,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290,-2.750577541,1.179169985,-0.977337471
1,1,14.06,2.15,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295,-2.39286652,1.611282321,0.145729462
1,1,14.83,1.64,2.17,14,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045,-2.795256331,0.923179517,-1.770925478
1,1,13.86,1.35,2.27,16,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045,-3.005596664,0.796284169,-0.983741629
1,1,14.1,2.16,2.3,18,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510,-3.678688555,1.312523421,-0.42185417
1,1,14.12,1.48,2.32,16.8,95,2.2,2.43,0.26,1.57,5,1.17,2.82,1280,-2.109634767,0.612981986,-1.191569954
1,1,13.75,1.73,2.41,16,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320,-2.438456362,0.67852331,-0.865513701
1,1,14.75,1.73,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150,-3.673494532,1.140121355,-1.203768702
1,1,14.38,1.87,2.38,12,102,3.3,3.64,0.29,2.96,7.5,1.2,3,1547,-4.441575751,2.11031917,-1.262450409
1,1,13.63,1.81,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310,-2.60892387,1.666418011,0.21763276
1,1,14.3,1.92,2.72,20,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280,-2.475428459,2.330896717,0.831602071
1,1,13.83,1.57,2.62,20,115,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130,-2.226232435,1.633590162,0.794557947
1,1,14.19,1.59,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680,-3.742269292,2.528405266,-0.484832351
1,1,13.64,3.1,2.56,15.2,116,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845,-2.3944115,1.064529457,-0.164711761
1,1,14.06,1.63,2.28,16,126,3,3.17,0.24,2.1,5.65,1.09,3.71,780,-3.336568953,0.796012794,-0.363852323
1,1,12.93,3.8,2.65,18.6,102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770,-1.481403991,0.240085474,0.936230971
1,1,13.71,1.86,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4,1035,-2.828068673,-0.086857552,-0.311966722
1,1,12.85,1.6,2.52,17.8,95,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015,-2.007714046,-0.515616487,0.143253973
1,1,13.5,1.81,2.61,20,96,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845,-2.114636036,-0.315920569,0.889723442
2,1,13.05,2.05,3.22,25,124,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830,-1.397537507,0.938215285,3.81984245
1,1,13.39,1.77,2.62,16.1,93,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195,-2.133488028,0.687102046,-0.087458063
1,1,13.3,1.72,2.14,17,94,2.4,2.19,0.27,1.35,3.95,1.02,2.77,1285,-1.629703827,-0.09118403,-1.387817268
1,1,13.87,1.9,2.8,19.4,107,2.95,2.97,0.37,1.76,4.5,1.25,3.4,915,-2.507607528,0.692749833,1.394171528
1,1,14.02,1.68,2.21,16,96,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035,-2.559483179,0.1954729,-1.092679354
1,1,13.73,1.5,2.7,22.5,101,3,3.25,0.29,2.38,5.7,1.19,2.71,1285,-2.772444525,1.246352792,1.386255484
1,1,13.58,1.66,2.36,19.1,106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515,-2.935133741,1.478278834,-0.331852675
1,1,13.68,1.83,2.36,17.2,104,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990,-1.991248416,0.053252014,-0.167814766
1,1,13.76,1.53,2.7,19.5,132,2.95,2.74,0.5,1.35,5.4,1.25,3,1235,-2.245709866,1.634669105,1.171383757
1,1,13.51,1.8,2.65,19,110,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095,-1.786986277,0.697480386,0.478958711
1,1,13.48,1.81,2.41,20.5,100,2.7,2.98,0.26,1.86,5.1,1.04,3.47,920,-2.227638666,0.179288919,0.450723842
1,1,13.28,1.64,2.84,15.5,110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880,-1.768028472,0.657872308,0.457519616
1,1,13.05,1.65,2.55,18,98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105,-1.523177981,0.112225053,-0.040111695
1,1,13.07,1.5,2.1,15.5,98,2.4,2.64,0.28,1.37,3.7,1.18,2.69,1020,-1.872364942,-0.769305759,-1.426819252
1,1,14.22,3.99,2.51,13.2,128,3,3.04,0.2,2.08,5.1,0.89,3.53,760,-2.797114344,1.808808873,-0.342657071
1,1,13.56,1.71,2.31,16.2,117,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795,-2.840935693,0.786161567,-0.11778187
1,1,13.41,3.84,2.12,18.8,90,2.45,2.68,0.27,1.48,4.28,0.91,3,1035,-1.105572102,0.165884925,-0.784568985
1,1,13.88,1.89,2.59,15,101,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095,-3.306894824,1.163955469,-0.312199951
1,1,13.24,3.98,2.29,17.5,103,2.64,2.63,0.32,1.66,4.36,0.82,3,680,-0.904798423,0.326072432,-0.202584244
1,1,13.05,1.77,2.1,17,107,3,3,0.28,2.03,5.04,0.88,3.35,885,-2.39683569,-0.066905945,-0.655487425
1,1,14.21,4.04,2.44,18.9,111,2.85,2.65,0.3,1.25,5.24,0.87,3.33,1080,-1.537812348,1.77507765,0.027668589
1,1,14.38,3.59,2.28,16,102,3.25,3.17,0.27,2.19,4.9,1.04,3.44,1065,-2.991216438,1.197622547,-0.539465841
1,1,13.9,1.68,2.12,16,101,3.1,3.39,0.21,2.14,6.1,0.91,3.33,985,-3.059316314,0.653821958,-1.154757952
1,1,14.1,2.02,2.4,18.8,103,2.75,2.92,0.32,2.38,6.2,1.07,2.75,1060,-2.318771457,1.250236681,-0.057298014
1,1,13.94,1.73,2.27,17.4,108,2.88,3.54,0.32,2.08,8.9,1.12,3.1,1260,-2.959472287,1.758603649,-0.642655624
1,1,13.05,1.73,2.04,12.4,92,2.72,3.27,0.17,2.91,7.2,1.12,2.91,1150,-3.412181301,0.176915806,-1.972282043
1,1,13.83,1.65,2.6,17.2,94,2.45,2.99,0.22,2.29,5.6,1.24,3.37,1265,-3.116378267,0.752108734,0.004998138
1,1,13.82,1.75,2.42,14,111,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190,-3.700211135,1.623091869,-0.519868451
1,1,13.77,1.9,2.68,17.1,115,3,2.79,0.39,1.68,6.3,1.13,2.93,1375,-2.537548276,1.878527934,0.339182163
1,1,13.74,1.67,2.25,16.4,118,2.6,2.9,0.21,1.62,5.85,0.92,3.2,1060,-2.444789239,1.020715156,-0.95757094
1,1,13.56,1.73,2.46,20.5,116,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120,-2.722814509,1.33524369,0.514188852
1,1,14.22,1.7,2.3,16.3,118,3.2,3,0.26,2.03,6.38,0.94,3.31,970,-2.985316774,1.443637586,-0.611793476
1,1,13.29,1.97,2.68,16.8,102,3,3.23,0.31,1.66,6,1.07,2.84,1270,-2.488146899,1.215492503,0.261493332
1,1,13.72,1.43,2.5,16.7,108,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285,-3.351286651,1.74060283,-0.28473513
3,2,12.37,0.94,1.36,10.6,88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520,0.874925041,-3.077723829,-4.585646187
4,2,12.33,1.1,2.28,16,101,2.05,1.09,0.63,0.41,3.27,1.25,1.67,680,1.414660758,-1.389954204,-0.876470824
4,2,12.64,1.36,2.02,16.8,100,2.02,1.41,0.53,0.62,5.75,0.98,1.59,450,1.713879156,-0.838856075,-1.607071772
4,2,13.67,1.25,1.92,18,94,2.1,1.79,0.32,0.73,3.8,1.23,2.46,630,-0.012296861,-1.262695892,-1.784605213
4,2,12.37,1.13,2.16,19,87,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420,-1.833101223,-1.913386084,-0.005308782
4,2,12.17,1.45,2.53,19,104,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355,0.574535949,-1.911150968,0.678679017
4,2,12.37,1.21,2.56,18.1,98,2.42,2.65,0.37,2.08,4.6,1.19,2.3,678,-0.791471156,-0.758725519,0.574195746
4,2,13.11,1.01,1.7,15,78,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502,-2.020031475,-1.872131419,-2.029700526
4,2,12.37,1.17,1.92,19.6,78,2.11,2,0.27,1.04,4.68,1.12,3.48,510,-0.14328098,-2.425756911,-1.069514689
4,2,13.34,0.94,2.36,17,110,2.53,1.3,0.55,0.42,3.17,1.02,1.93,750,0.751507665,-0.225209017,-0.708153727
1,2,12.21,1.19,1.75,16.8,151,1.85,1.28,0.14,2.5,2.85,1.28,3.07,718,-1.740325731,-1.391008147,-1.235601124
4,2,12.29,1.61,2.21,20.4,103,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870,1.476300408,-0.892248586,-0.629942735
4,2,13.86,1.51,2.67,25,86,2.95,2.86,0.21,1.87,3.38,1.36,3.16,410,-1.491977786,-0.947927081,1.953836973
4,2,13.49,1.66,2.24,24,87,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472,0.693966859,-1.066863319,0.079864238
2,2,12.99,1.67,2.6,30,139,3.3,2.89,0.21,1.96,3.35,1.31,3.5,985,-2.299457157,0.274358507,3.376817208
4,2,11.96,1.09,2.3,21,101,3.38,2.14,0.13,1.65,3.21,0.99,3.13,886,-1.634131377,-1.277389804,0.460188129
4,2,11.66,1.88,1.92,16,97,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428,0.828999321,-2.447705789,-1.563704184
4,2,13.03,0.9,1.71,16,86,1.95,2.03,0.24,1.46,4.6,1.19,2.48,392,-0.300431755,-2.151064561,-2.448739452
4,2,11.84,2.89,2.23,18,112,1.72,1.32,0.43,0.95,2.65,0.96,2.52,500,1.361178196,-1.390346266,-0.228302697
1,2,12.33,0.99,1.95,14.8,136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750,-1.096048522,-0.762642821,-1.182372766
4,2,12.7,3.87,2.4,23,101,2.83,2.55,0.43,1.95,2.57,1.19,3.13,463,-0.319219739,-1.024770428,1.794820911
4,2,12,0.92,2,19,86,2.42,2.26,0.3,1.43,2.5,1.38,3.12,278,-0.671257572,-3.370524965,-0.356702471
4,2,12.72,1.81,2.2,18.8,86,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714,-0.924110908,-1.445106615,-0.362167941
4,2,12.08,1.13,2.51,24,78,2,1.58,0.4,1.4,2.2,1.31,2.72,630,0.467492044,-2.383765573,1.335141077
5,2,13.05,3.86,2.32,22.5,85,1.65,1.59,0.61,1.62,4.8,0.84,2.01,515,2.35241675,-0.100139963,0.472254334
4,2,11.84,0.89,2.58,18,94,2.2,2.21,0.22,2.35,3.05,0.79,3.08,520,-0.71822325,-1.468113944,0.611344419
4,2,12.67,0.98,2.24,18,99,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450,-0.698296042,-2.022234166,-0.254062359
4,2,12.16,1.61,2.31,22.8,90,1.78,1.69,0.43,1.56,2.45,1.33,2.26,495,0.764574393,-2.237504141,0.772269731
4,2,11.65,1.67,2.62,26,88,1.92,1.61,0.4,1.34,2.6,1.36,3.21,562,0.528249229,-2.375697234,2.3070477
4,2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1,2.75,680,1.037855075,-1.807867988,0.958261132
4,2,12.08,1.33,2.3,23.6,70,2.2,1.59,0.42,1.38,1.74,1.07,3.21,625,0.52142425,-2.66038386,0.848509316
4,2,12.08,1.83,2.32,18.5,81,1.6,1.5,0.52,1.64,2.4,1.08,2.27,480,1.253358594,-2.124756387,-0.048801873
4,2,12,1.51,2.42,22,86,1.45,1.25,0.5,1.63,3.6,1.05,2.65,450,1.460709261,-1.859699405,0.779936252
4,2,12.69,1.53,2.26,20.7,80,1.38,1.46,0.58,1.62,3.05,0.96,2.06,495,1.791246294,-1.569163232,-0.090862081
4,2,12.29,2.83,2.22,18,88,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290,-0.653304282,-2.308392965,0.115558436
4,2,11.62,1.99,2.28,18,98,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345,-0.8361451,-2.21754888,0.14365259
1,2,12.47,1.52,2.2,19,162,2.5,2.27,0.32,3.28,2.6,1.16,2.63,937,-2.260607324,0.18428637,0.791707831
4,2,11.81,2.12,2.74,21.5,134,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625,0.555472828,-0.370127327,1.309239042
4,2,12.29,1.41,1.98,16,85,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428,-0.914996505,-2.559639344,-1.085370948
4,2,12.37,1.07,2.1,18.5,88,3.52,3.75,0.24,1.95,4.5,1.04,2.77,660,-2.020983471,-1.420220413,-0.228051484
4,2,12.29,3.17,2.21,18,88,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406,-1.265426765,-2.158482507,0.750129033
4,2,12.08,2.08,1.7,17.5,97,2.23,2.17,0.26,1.4,3.3,1.27,2.96,710,-0.701432286,-2.372215915,-1.567245337
4,2,12.6,1.34,1.9,18.5,88,1.45,1.36,0.29,1.35,2.45,1.04,2.77,562,0.530869785,-2.29535505,-1.499170937
4,2,12.34,2.45,2.46,21,98,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438,0.176156718,-1.164790028,1.003761031
4,2,11.82,1.72,1.88,19.5,86,2.5,1.64,0.37,1.42,2.06,0.94,2.44,415,0.642741969,-2.682289526,-0.765006369
4,2,12.51,1.73,1.98,20.5,85,2.2,1.92,0.32,1.48,2.94,1.04,3.57,672,-0.337706143,-2.096396677,-0.47148765
4,2,12.42,2.55,2.27,22,90,1.68,1.84,0.66,1.42,2.7,0.86,3.3,315,1.637211546,-1.726364247,0.94549954
4,2,12.25,1.73,2.12,19,80,1.65,2.03,0.37,1.63,3.4,1,3.17,510,0.358772642,-2.170818617,-0.481516548
4,2,12.72,1.75,2.28,22.5,84,1.38,1.76,0.48,1.63,3.3,0.88,2.42,488,1.513118743,-1.363356276,0.286009689
4,2,12.22,1.29,1.94,19,92,2.36,2.04,0.39,2.08,2.7,0.86,3.02,312,-0.030096257,-2.30450774,-0.462917472
4,2,11.61,1.35,2.7,20,94,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680,-1.409402362,-1.453111582,1.781225643
4,2,11.46,3.74,1.82,19.5,107,3.18,2.58,0.24,3.58,2.9,0.75,2.81,562,-1.218244436,-1.408192823,0.141869305
4,2,12.52,2.43,2.17,21,88,2.55,2.27,0.26,1.22,2,0.9,2.78,325,0.288314619,-1.931226411,0.078755633
4,2,11.76,2.68,2.92,20,103,1.75,2.03,0.6,1.05,3.8,1.23,2.5,607,1.196097619,-0.770442623,1.998051773
4,2,11.41,0.74,2.5,21,88,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434,0.451618189,-2.271007056,1.06117891
4,2,12.08,1.39,2.5,22.5,84,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385,0.471838856,-1.941381189,1.323479508
4,2,11.03,1.51,2.2,21.5,85,2.46,2.17,0.52,2.01,1.9,1.71,2.87,407,-0.42339909,-3.868993607,1.34460234
4,2,11.82,1.47,1.99,20.8,86,1.98,1.6,0.3,1.53,1.95,0.95,3.33,495,0.264376527,-2.821916083,-0.302473757
4,2,12.42,1.61,2.19,22.5,108,2,2.09,0.34,1.61,2.06,1.06,2.96,345,0.137458466,-1.928453527,0.690492491
4,2,12.77,3.43,1.98,16,80,1.63,1.25,0.43,0.83,3.4,0.7,2.12,372,2.250476634,-1.269325294,-1.904897287
4,2,12,3.43,2,19,87,2,1.64,0.37,1.87,1.28,0.93,3.05,564,0.530744984,-2.224416799,-0.356421002
4,2,11.45,2.4,2.42,20,96,2.9,2.79,0.32,1.83,3.25,0.8,3.39,625,-0.641287353,-1.404312717,1.126303563
2,2,11.56,2.05,3.23,28.5,119,3.18,5.08,0.47,1.87,6,0.93,3.69,465,-1.184366906,0.260957397,5.346699305
2,2,12.42,4.43,2.73,26.5,102,2.2,2.13,0.43,1.71,2.08,0.92,3.12,365,1.106941946,-0.669497002,3.009462636
4,2,13.05,5.8,2.13,21.5,86,2.62,2.65,0.3,2.01,2.6,0.73,3.1,380,0.458647944,-0.619888485,0.483469394
4,2,11.87,4.31,2.39,21,82,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380,-0.846107223,-1.439108799,1.482768819
4,2,12.07,2.16,2.17,21,85,2.6,2.65,0.37,1.35,2.76,0.86,3.28,378,0.116536718,-2.109903554,0.434953692
4,2,12.43,1.53,2.29,21.5,86,2.74,3.15,0.39,1.77,3.94,0.69,2.84,352,0.0070867,-1.265511118,0.688045285
2,2,11.79,2.13,2.78,28.5,92,2.13,2.24,0.58,1.76,3,0.97,2.44,466,1.495308629,-1.21567945,3.360064769
4,2,12.37,1.63,2.3,24.5,88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342,0.478601694,-1.940278347,1.296539773
4,2,12.04,4.3,2.38,22,80,2.1,1.75,0.42,1.35,2.6,0.79,2.57,580,1.664144619,-1.159191469,0.781438229
5,3,12.86,1.35,2.32,18,122,1.51,1.25,0.21,0.94,4.1,0.76,1.29,630,1.778945543,0.172314762,-1.178869453
5,3,12.88,2.99,2.4,20,104,1.3,1.22,0.24,0.83,5.4,0.74,1.42,530,2.741918922,0.370857245,-0.723641101
5,3,12.81,2.31,2.4,24,98,1.15,1.09,0.27,0.83,5.7,0.66,1.36,560,3.254296967,0.257563459,-0.167783428
5,3,12.7,3.55,2.36,21.5,106,1.7,1.2,0.17,0.84,5,0.78,1.29,600,2.530366353,0.365988657,-0.452793591
5,3,12.51,1.24,2.25,17.5,85,2,0.58,0.6,1.25,5.45,0.75,1.51,650,2.713024374,-0.463874135,-1.101622522
5,3,12.6,2.46,2.2,18.5,94,1.62,0.66,0.63,0.94,7.1,0.73,1.58,695,3.348988581,0.345562159,-1.099903687
5,3,12.25,4.72,2.54,21,89,1.38,0.47,0.53,0.8,3.85,0.75,1.27,720,4.117166965,0.141973079,0.220219652
5,3,12.53,5.51,2.64,25,96,1.79,0.6,0.63,1.1,5,0.82,1.69,515,4.144128443,0.647213236,1.710698021
5,3,13.49,3.59,2.19,19.5,88,1.62,0.48,0.58,0.88,5.7,0.81,1.82,580,3.365925505,0.340410644,-1.027847566
5,3,12.84,2.96,2.61,24,101,2.32,0.6,0.53,0.81,4.92,0.89,2.15,590,2.71267678,0.287464382,1.24156157
5,3,12.93,2.81,2.7,21,96,1.54,0.5,0.53,0.75,4.6,0.77,2.31,600,3.07164523,0.279805941,0.60880793
5,3,13.36,2.56,2.35,20,89,1.4,0.5,0.37,0.64,5.6,0.7,2.47,780,2.626145461,0.368232871,-0.971981338
5,3,13.52,3.17,2.72,23.5,97,1.55,0.52,0.5,0.55,4.35,0.89,2.06,520,3.260396716,0.481090804,0.945869411
5,3,13.62,4.95,2.35,20,92,2,0.8,0.47,1.02,4.4,0.91,2.05,550,2.704046992,0.477459848,-0.253362189
5,3,12.25,3.88,2.2,18.5,112,1.38,0.78,0.29,1.14,8.21,0.65,2,855,2.590847746,1.157499866,-1.244623117
5,3,13.16,3.57,2.15,21,102,1.5,0.55,0.43,1.3,4,0.6,1.68,830,2.954011097,0.557851499,-0.856141264
5,3,13.88,5.04,2.23,20,80,0.98,0.34,0.4,0.68,4.9,0.58,1.33,415,4.459950064,0.635479008,-1.459910221
5,3,12.87,4.61,2.48,21.5,86,1.7,0.65,0.47,0.86,7.65,0.54,1.86,625,3.829249569,1.262329618,-0.111849762
5,3,13.32,3.24,2.38,21.5,92,1.93,0.76,0.45,1.25,8.42,0.55,1.62,650,3.133650013,1.564646138,-0.472735778
5,3,13.08,3.9,2.36,21.5,113,1.41,1.39,0.34,1.14,9.4,0.57,1.33,550,3.234714102,2.035324428,-0.495850787
5,3,13.5,3.12,2.62,24,123,1.4,1.57,0.22,1.25,8.6,0.59,1.3,500,2.712564719,2.353879599,0.438394136
5,3,12.79,2.67,2.48,22,112,1.48,1.36,0.24,1.26,10.8,0.48,1.47,480,2.930940445,2.041983529,-0.31155335
5,3,13.11,1.9,2.75,25.5,116,2.2,1.28,0.26,1.56,7.1,0.61,1.33,425,2.250574248,1.527956144,1.363759806
5,3,13.23,3.3,2.28,18.5,98,1.8,0.83,0.61,1.87,10.52,0.56,1.51,675,3.097520333,2.13348176,-0.964702506
5,3,12.58,1.29,2.1,20,103,1.48,0.58,0.53,1.4,7.6,0.58,1.55,640,3.077055668,0.404790975,-1.190326202
5,3,13.17,5.19,2.32,22,93,1.74,0.63,0.61,1.55,7.9,0.6,1.48,725,3.856158237,1.792089432,-0.095022279
5,3,13.84,4.12,2.38,19.5,89,1.8,0.83,0.48,1.56,9.01,0.57,1.64,480,3.208388424,1.918827883,-0.782626281
5,3,12.45,3.03,2.64,27,97,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880,3.658494172,1.302580816,1.601089604
5,3,14.34,1.68,2.7,25,98,2.8,1.31,0.53,2.7,13,0.57,1.96,660,1.552981827,3.519093112,1.161596772
5,3,13.48,1.67,2.64,22.5,89,2.6,1.1,0.52,2.29,11.75,0.57,1.78,620,2.058283892,2.407546103,0.549571767
5,3,12.36,3.83,2.38,21,88,2.3,0.92,0.5,1.04,7.65,0.56,1.58,520,3.438549339,0.730543243,-0.091469132
5,3,13.69,3.26,2.54,20,107,1.83,0.56,0.5,0.8,5.88,0.96,1.82,680,2.584488147,1.171328386,-0.10178
5,3,12.85,3.27,2.58,22,106,1.65,0.6,0.6,0.96,5.58,0.87,2.11,570,3.144457216,0.549035841,0.803473957
5,3,12.96,3.45,2.35,18.5,106,1.39,0.7,0.4,0.94,5.28,0.68,1.75,675,2.925293982,0.692656844,-0.885187512
5,3,13.78,2.76,2.3,22,90,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615,3.261826775,1.548590568,-0.983800479
5,3,13.73,4.36,2.26,22.5,88,1.28,0.47,0.52,1.15,6.62,0.78,1.75,520,3.777587166,0.872311546,-0.4671335
5,3,13.45,3.7,2.6,23,111,1.7,0.92,0.43,1.46,10.68,0.85,1.56,695,2.774639252,2.588704645,0.428405575
5,3,12.82,3.37,2.3,19.5,88,1.48,0.66,0.4,0.97,10.26,0.72,1.75,685,3.242616177,1.267847895,-1.213715227
5,3,13.58,2.58,2.69,24.5,105,1.55,0.84,0.39,1.54,8.66,0.74,1.8,750,2.563743753,2.07490927,0.764076543
5,3,13.4,4.6,2.86,25,112,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630,2.748729476,2.585082044,1.418267058
5,3,12.2,3.03,2.32,19,96,1.25,0.49,0.4,0.73,5.5,0.66,1.83,510,3.491196196,-0.259460201,-0.847741922
5,3,12.77,2.39,2.28,19.5,86,1.39,0.51,0.48,0.64,9.899999,0.57,1.63,470,3.929134405,0.837386028,-1.3403478
5,3,14.16,2.51,2.48,20,91,1.68,0.7,0.44,1.24,9.7,0.62,1.71,660,2.815295466,2.189336141,-0.918927443
5,3,13.71,5.65,2.45,20.5,95,1.68,0.61,0.52,1.06,7.7,0.64,1.74,740,3.627996202,2.206617014,-0.343667668
5,3,13.4,3.91,2.48,23,102,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750,2.942729215,1.752263202,0.207479744
5,3,13.27,4.28,2.26,20,120,1.59,0.69,0.43,1.35,10.2,0.59,1.56,835,3.027272432,2.756040239,-0.940803036
5,3,13.17,2.59,2.37,20,120,1.65,0.68,0.53,1.46,9.3,0.6,1.62,840,2.755221664,2.293784082,-0.550473677
5,3,14.13,4.1,2.74,24.5,96,2.05,0.76,0.56,1.35,9.2,0.61,1.6,560,3.496335654,2.76060799,1.013151148
